time (s),U,V,W
252.40625,-1.26,1.58,0.22
252.4375,-1.56,1.39,0.26
252.46875,-0.72,1.49,1.9
252.5,-0.37,2.54,2.28
252.53125,-1.57,2.35,1.32
252.5625,-0.5,2.26,1.26
252.59375,-1.9,0.86,0.56
252.625,-2.14,0.75,0.25
252.65625,-1.83,0.28,0.11
252.6875,-1.32,0.42,0.29
252.71875,-0.93,0.34,0.35
252.75,-1.29,0.26,-0.15
252.78125,-1.3,0.42,-0.18
252.8125,-1.33,0.07,-0.39
252.84375,-1.35,0.01,-0.34
252.875,-1.4,0.16,-0.2
252.90625,-1.72,0.05,-0.31
252.9375,-1.38,0.25,-0.29
252.96875,-1.46,0.38,-0.25
253,-1.62,0.16,-0.22
253.03125,-1.66,0.04,-0.14
253.0625,-1.27,-0.02,-0.09
253.09375,-1.25,-0.23,-0.21
253.125,-1.14,0.26,0.01
253.15625,-1,0.61,-0.19
253.1875,-1.47,0.26,0.03
253.21875,-2.89,0.17,-0.02
253.25,-2.91,1.34,-0.32
253.28125,-2.86,1.54,0.28
253.3125,-4.03,1.5,0.7
253.34375,-4.58,2.46,0.01
253.375,-5.41,1.98,0.21
253.40625,-4.69,1.64,0.23
253.4375,-3.95,2.06,0.33
253.46875,-4.91,2.07,0.37
253.5,-6.82,1.59,-0.01
253.53125,-5.81,3.57,0.51
253.5625,-5.99,3.54,0.57
253.59375,-6.42,2.09,0.45
253.625,-5.74,3.31,0.49
253.65625,-6.11,1.96,-0.81
253.6875,-3.77,3.1,0.31
253.71875,-4.85,2.38,-0.22
253.75,-5.37,2.3,0.25
253.78125,-3.04,3.16,0.15
253.8125,-3.08,2.27,-0.17
253.84375,-2.4,1.47,0.09
253.875,-3.34,1.7,0.25
253.90625,-2.09,1.84,-0.34
253.9375,-2.03,1.89,-0.3
253.96875,-2.23,1.92,0.16
254,-1.72,1.61,0.14
254.03125,-2.51,0.57,0.34
254.0625,-1.92,1.37,0
254.09375,-1.32,0.9,0.07
254.125,-1.07,1.22,-0.14
254.15625,-1.1,1.11,0.02
254.1875,-1.25,0.96,0
254.21875,-1.09,1.16,-0.36
254.25,-1.04,0.98,-0.38
254.28125,-1.08,0.54,-0.05
254.3125,-0.67,1.3,-0.25
254.34375,-0.85,1.11,-0.19
254.375,-1.07,1.05,-0.17
254.40625,-0.67,1.12,-0.05
254.4375,-0.9,1.17,-0.12
254.46875,-0.95,1.06,-0.16
254.5,-0.67,1.31,0.04
254.53125,-1.02,1.21,-0.01
254.5625,-0.95,1.13,0.04
254.59375,-0.86,1.45,-0.06
254.625,-0.91,1.33,-0.15
254.65625,-0.82,1.12,-0.01
254.6875,-0.79,1.07,0.02
254.71875,-0.84,1.12,-0.13
254.75,-0.76,1.08,0.04
254.78125,-0.7,0.96,0.05
254.8125,-0.78,0.95,0.04
254.84375,-0.7,1.12,-0.05
254.875,-0.9,1.04,-0.2
254.90625,-0.59,1.33,0.05
254.9375,-0.91,1.27,-0.12
254.96875,-0.82,1.01,-0.03
255,-0.63,1.15,-0.32
255.03125,-0.97,1.33,-0.27
255.0625,-1.02,1.2,-0.38
255.09375,-0.89,1.22,-0.24
255.125,-1.06,1.29,-0.23
255.15625,-1.12,1.31,-0.08
255.1875,-1.06,1.42,-0.54
255.21875,-0.89,1.39,-0.31
255.25,-1.03,1.08,-0.25
255.28125,-0.63,1.84,-0.23
255.3125,-0.85,1.38,-0.18
255.34375,-0.79,1.23,0.09
255.375,-0.55,1.38,-0.22
255.40625,-0.66,1.25,-0.12
255.4375,-0.52,1.24,-0.17
255.46875,-0.71,1.31,-0.15
255.5,-0.61,1.22,0.11
255.53125,-0.86,0.65,-0.07
255.5625,-0.52,1.21,-0.07
255.59375,-0.53,1.29,-0.01
255.625,-0.66,1.32,0.12
255.65625,-0.63,1.14,0.01
255.6875,-0.65,1.2,0
255.71875,-0.57,1.04,0.21
255.75,-0.69,1.17,0.01
255.78125,-0.48,1.08,0.2
255.8125,-0.57,1.07,0.19
255.84375,-0.5,1.1,0.33
255.875,-0.43,1.03,0.32
255.90625,-0.54,1.26,0.21
255.9375,-1.15,1.11,0.48
255.96875,-0.31,0.84,0.49
256,-0.48,0.89,0.31
256.03125,-0.39,0.87,0.41
256.0625,-0.31,0.56,0.11
256.09375,-0.13,0.98,0.1
256.125,-0.35,0.87,0.25
256.15625,-0.48,0.84,0.19
256.1875,-0.11,1.04,0.25
256.21875,-0.09,0.84,0.18
256.25,-0.34,0.75,-0.11
256.28125,-0.27,0.79,0.12
256.3125,0,0.56,0.23
256.34375,-0.14,0.9,0.26
256.375,-0.39,0.78,0.06
256.40625,-0.34,1.03,0.02
256.4375,0.06,1.36,0.15
256.46875,-0.44,0.99,0.39
256.5,-0.99,0.93,0.38
256.53125,-0.87,1.16,0.58
256.5625,-0.89,0.9,0.18
256.59375,-0.77,1.4,0.01
256.625,-0.25,1.15,0.53
256.65625,-0.9,1.12,0
256.6875,-0.79,1.63,0.22
256.71875,-0.71,1.02,0.19
256.75,-0.84,1.27,0.31
256.78125,-1.25,2.08,0.97
256.8125,-0.43,2.43,-0.23
256.84375,-0.2,0.97,0
256.875,-0.34,1.28,0.67
256.90625,-0.17,1.92,-0.19
256.9375,-0.77,1.19,0.29
256.96875,-0.74,1.5,0.46
257,-0.59,1.06,0.69
257.03125,-0.48,1.54,-0.03
257.0625,-0.7,1.47,0
257.09375,-0.46,1.08,0.23
257.125,-1.06,1.19,0.61
257.15625,-0.8,0.91,0.56
257.1875,-0.76,0.35,0.26
257.21875,-0.03,0.63,0.1
257.25,-0.4,1.28,0.37
257.28125,-0.39,0.55,0.65
257.3125,-0.23,1.26,-0.08
257.34375,-0.71,0.71,0.25
257.375,-0.73,0.78,0.65
257.40625,-0.72,1.1,0.88
257.4375,-0.35,1.54,0.33
257.46875,-0.75,0.96,0.26
257.5,-0.88,1.28,0.56
257.53125,-0.89,1.76,-0.15
257.5625,-0.36,1.86,-0.09
257.59375,-0.17,1.58,-0.04
257.625,-0.43,1.32,-0.25
257.65625,-0.26,1.38,0.18
257.6875,-1.17,0.91,-0.29
257.71875,-0.8,0.82,-0.34
257.75,-0.23,1.53,0.25
257.78125,-0.09,1.08,0.24
257.8125,-0.39,1.34,0.2
257.84375,-1,1.16,0.45
257.875,-0.62,1.11,0.36
257.90625,-0.63,1.49,-0.14
257.9375,-0.84,1.32,0.12
257.96875,-0.71,1.54,-0.2
258,-0.91,1.19,0.06
258.03125,-0.64,1.37,-0.09
258.0625,-0.58,1.19,0.26
258.09375,-0.86,0.26,-0.25
258.125,-1.02,1.17,0.33
258.15625,-0.64,2.07,0.63
258.1875,-0.74,1.51,-0.24
258.21875,-1.04,1.47,0.39
258.25,-0.55,1.71,0.11
258.28125,-2.04,1.81,0.08
258.3125,-0.52,2.07,0.38
258.34375,-1.92,1.87,0.02
258.375,-0.75,1.88,0.32
258.40625,-1.28,1.89,0.3
258.4375,-1.08,1.66,0.03
258.46875,-1.02,1.7,-0.31
258.5,-0.64,1.37,0.33
258.53125,-0.64,1.64,0.57
258.5625,-0.76,2.12,0.15
258.59375,-1.75,1.85,0.23
258.625,-0.65,2.3,-0.01
258.65625,-1.06,1.91,0
258.6875,-0.74,1.75,0.09
258.71875,-1.49,1.16,-0.07
258.75,-1.32,1.35,0.28
258.78125,-1.78,1.32,0.04
258.8125,-0.87,1.75,0
258.84375,-0.42,1.5,-0.22
258.875,-0.47,1.48,-0.44
258.90625,-0.16,1.44,0.22
258.9375,-0.54,1.13,-0.06
258.96875,-1.39,1.26,0.05
259,-0.29,0.71,0.3
259.03125,-0.03,0.63,0.77
259.0625,-0.56,0.34,1.74
259.09375,-0.33,-0.01,0.22
259.125,-0.87,2.11,0.25
259.15625,-0.16,1.37,-0.32
259.1875,-0.39,0.84,0.04
259.21875,-0.22,1.49,-0.33
259.25,-1.45,1.06,-0.48
259.28125,-0.33,1.31,-0.22
259.3125,-0.7,1.53,0.66
259.34375,-0.52,1.73,-0.2
259.375,0.09,1.2,0.02
259.40625,-0.5,1.02,-0.14
259.4375,-0.65,1.01,-0.03
259.46875,-1.14,1.55,-0.23
259.5,-1.08,1.63,-0.29
259.53125,-0.17,1.6,0.37
259.5625,-0.37,1.42,0.17
259.59375,-0.8,1.42,0.01
259.625,-0.71,1.38,-0.01
259.65625,-0.37,1.78,-0.22
259.6875,-0.51,1.36,0
259.71875,-2.26,0.94,-0.63
259.75,-0.84,1.14,-0.38
259.78125,-0.79,0.85,-0.45
259.8125,-0.23,1.64,-0.17
259.84375,-0.96,1.89,-0.15
259.875,-0.38,1.74,-0.34
259.90625,-1.11,1.86,0.4
259.9375,-1.83,1.25,-0.77
259.96875,-1.03,1.82,0.3
260,-0.86,1.91,0.14
260.03125,-1.54,1.77,-0.25
260.0625,-0.24,1.87,-0.25
260.09375,-0.29,1.67,-0.4
260.125,-2.44,1.72,0.03
260.15625,-0.61,2.01,-0.24
260.1875,-0.62,1.24,-0.66
260.21875,-0.67,1.84,-0.4
260.25,-0.49,1.52,0.21
260.28125,-0.49,1.66,0.26
260.3125,-0.78,1.31,-0.08
260.34375,-0.7,0.95,-0.37
260.375,-0.79,1.16,-0.23
260.40625,-1.05,1,-0.62
260.4375,-1.01,1.34,-0.1
260.46875,-0.55,1.19,-0.14
260.5,-0.25,1.53,-0.03
260.53125,-0.48,1.21,-0.2
260.5625,-0.79,1.61,-0.13
260.59375,-0.7,1.87,-0.43
260.625,-0.86,1.6,-0.53
260.65625,-0.77,1.37,-0.2
260.6875,-0.58,1.06,-0.09
260.71875,-0.91,1.1,-0.47
260.75,-1.04,1.3,-0.26
260.78125,-0.51,1.96,-0.25
260.8125,-0.59,1.32,-0.12
260.84375,-0.52,0.97,-0.06
260.875,-0.39,1.56,-0.36
260.90625,-0.77,1.22,-0.42
260.9375,-0.56,1.03,-0.26
260.96875,-1.21,1.26,0.15
261,-0.59,1.75,-0.43
261.03125,-1.26,0.87,-0.6
261.0625,-0.41,1.27,-0.01
261.09375,-1.11,1.14,-0.21
261.125,-2.13,0.76,-0.01
261.15625,-0.51,1.33,-0.6
261.1875,-0.46,1.26,-0.36
261.21875,-1.14,1.36,-0.31
261.25,-1.2,1.49,0.21
261.28125,-1.71,1.44,-0.71
261.3125,-0.78,1.17,-0.23
261.34375,-0.15,0.81,-0.04
261.375,-0.44,1.33,-0.49
261.40625,-1.9,1.26,-0.31
261.4375,-0.72,1.35,-0.28
261.46875,-0.65,1.05,-0.45
261.5,-0.48,1.81,-0.27
261.53125,-0.79,1.35,-0.47
261.5625,-0.73,1.1,-0.43
261.59375,-0.64,1.53,-0.5
261.625,-0.67,1.08,-0.33
261.65625,-0.85,1.16,-0.23
261.6875,-0.65,1.3,-0.58
261.71875,-0.6,1.16,-0.26
261.75,-0.88,1.59,-0.58
261.78125,-0.38,1.37,-0.11
261.8125,-1.76,1.39,0.04
261.84375,-0.54,2.59,-0.1
261.875,-0.6,1.32,-0.28
261.90625,-1.29,1.83,0.03
261.9375,-0.48,1.15,-0.32
261.96875,-1.66,1.89,0.2
262,-0.39,1.98,-0.08
262.03125,-1.09,2.3,-0.94
262.0625,-0.51,1.33,-0.4
262.09375,-1.06,1.64,-0.03
262.125,-0.12,1.5,-0.42
262.15625,-0.37,1.19,-0.01
262.1875,-2.58,1.6,-0.28
262.21875,-0.92,1.05,-0.65
262.25,-0.43,1.7,-0.12
262.28125,-1.15,1.64,-0.65
262.3125,-0.22,1.6,-0.64
262.34375,-1.05,1.43,-0.62
262.375,-1.07,1.5,0.13
262.40625,-0.56,1.71,0.02
262.4375,-1.91,1.34,-0.58
262.46875,-0.61,1.13,-0.65
262.5,-1.07,1.45,0.14
262.53125,-1.49,1.4,-0.35
262.5625,-1.31,2.17,-0.72
262.59375,-0.96,1.66,-0.27
262.625,-1.33,1.76,-0.28
262.65625,-0.37,2.09,-0.39
262.6875,-1.09,1.78,-0.34
262.71875,-0.87,1.5,-0.03
262.75,-1.31,1.64,-0.48
262.78125,-1.43,1.61,-0.62
262.8125,-1.75,1.79,0.43
262.84375,-1.65,1.68,-0.56
262.875,-2.12,2.32,-0.96
262.90625,-0.64,1.68,-0.5
262.9375,-1.01,1.31,-0.19
262.96875,-1.08,1.57,-0.45
263,-2.09,1.39,-0.29
263.03125,-0.88,1.76,-1.05
263.0625,-1.09,1.97,-0.38
263.09375,-1.98,1.82,-1.08
263.125,-1.94,1.75,-0.06
263.15625,-0.68,1.19,-0.38
263.1875,-0.8,1.16,-0.4
263.21875,-2.7,2.78,0.35
263.25,-0.51,1.6,-0.69
263.28125,-0.61,0.89,-0.32
263.3125,-1.31,1.47,-0.51
263.34375,-1.97,1.44,-0.71
263.375,-0.7,1.65,-0.68
263.40625,-1.71,1.78,-0.59
263.4375,-0.92,1.5,-0.03
263.46875,-0.72,1.62,-0.33
263.5,-0.75,1.27,-0.06
263.53125,-0.35,1.86,-0.26
263.5625,-0.61,1.28,-0.65
263.59375,-0.66,1.3,-0.37
263.625,-0.73,1.62,-0.37
263.65625,-1.69,1.85,0.04
263.6875,-0.62,1.43,-0.9
263.71875,-0.74,1.61,-0.55
263.75,-1.4,1.6,-0.31
263.78125,-0.83,1.65,-0.08
263.8125,-1.08,1.9,-0.08
263.84375,-2.71,2.2,0.02
263.875,-0.91,1.04,-0.68
263.90625,-1.1,1.8,0.1
263.9375,-1.78,1.83,-0.12
263.96875,-0.63,1.57,-0.41
264,-1.97,1.38,-0.78
264.03125,-0.57,1.79,0.12
264.0625,-1.09,2.05,-0.26
264.09375,-1.83,2.09,-0.19
264.125,-1.58,1.54,-0.66
264.15625,-0.91,1.69,-0.16
264.1875,-1.56,2.2,-0.62
264.21875,-2.15,1.87,-0.49
264.25,-1.32,1.95,-0.72
264.28125,-1.34,2.62,-0.47
264.3125,-1.06,1.59,-0.48
264.34375,-1.97,2.31,-0.75
264.375,-0.14,2.05,-0.14
264.40625,-1.98,1.68,-0.66
264.4375,-0.45,1.94,-0.29
264.46875,-0.63,1.62,-0.87
264.5,-2.57,2.47,0.01
264.53125,-1.42,1.75,-0.26
264.5625,-1.53,3.23,-1.01
264.59375,-1.34,2.15,-0.11
264.625,-0.47,1.31,-0.54
264.65625,-1.23,1.76,-0.57
264.6875,-2.02,1.72,-0.06
264.71875,-0.72,1.69,-0.32
264.75,-2.51,2.77,-0.44
264.78125,-1.39,1.65,-0.65
264.8125,-0.95,1.83,-0.54
264.84375,-1.61,2.52,-0.27
264.875,-1.94,2.46,-0.16
264.90625,-1.58,1.86,-0.79
264.9375,-2.04,1.94,-0.65
264.96875,-1.22,2.45,-0.96
265,-0.07,1.91,-0.58
265.03125,-1.6,2.02,-0.89
265.0625,-1.23,2.24,-0.1
265.09375,-0.5,1.74,-0.36
265.125,-2.54,1.84,0.25
265.15625,-1.58,1.38,-0.91
265.1875,-1.86,1.4,-0.64
265.21875,-1.62,1.4,-0.48
265.25,-0.82,1.42,-0.35
265.28125,-1.2,1.13,-0.39
265.3125,-0.82,1.23,-0.58
265.34375,-1.66,1.66,-0.81
265.375,-1.24,2.04,-0.2
265.40625,-0.75,0.97,-0.41
265.4375,-0.2,1.56,-0.31
265.46875,-0.92,1.14,-0.45
265.5,-0.86,1.07,-0.35
265.53125,-0.83,0.56,-0.25
265.5625,-1.27,0.7,-0.62
265.59375,-0.81,1.07,-0.28
265.625,-1.28,1.1,-0.42
265.65625,-1.05,1.11,-0.13
265.6875,-1.62,1.37,-0.4
265.71875,-1.01,1.65,-0.32
265.75,-1.72,1.95,-0.54
265.78125,-0.83,2.31,-0.26
265.8125,-2.24,2.26,-0.53
265.84375,-1.26,2.05,-0.16
265.875,-2.81,1.75,-0.18
265.90625,-1.13,2.02,0.05
265.9375,-0.58,2.22,-0.7
265.96875,-1.34,1.57,-0.18
266,-0.67,1.7,-0.2
266.03125,-0.81,1.55,-0.21
266.0625,-0.44,1.28,-0.01
266.09375,-0.15,1.16,-0.26
266.125,-0.21,1.09,-0.24
266.15625,-0.28,0.68,-0.34
266.1875,0.32,1.36,-0.07
266.21875,-0.08,0.84,-0.05
266.25,0.07,0.83,0.05
266.28125,0.08,1,-0.06
266.3125,-0.03,0.62,0.13
266.34375,-0.11,0.94,0.04
266.375,-0.11,0.85,0.1
266.40625,-0.16,1.06,-0.09
266.4375,-0.3,0.92,-0.03
266.46875,-0.39,1.05,-0.01
266.5,-0.49,1.07,-0.02
266.53125,-0.59,0.58,0.24
266.5625,-0.62,0.63,0.34
266.59375,-0.53,0.84,0.15
266.625,-0.5,0.67,0.12
266.65625,-0.55,1.13,-0.01
266.6875,-0.8,1.05,0.1
266.71875,-0.82,0.84,0.17
266.75,-0.73,1.15,-0.15
266.78125,-0.81,0.98,-0.07
266.8125,-0.74,1.12,-0.06
266.84375,-0.78,1.31,-0.01
266.875,-0.9,1.11,0.02
266.90625,-0.97,1.05,0.05
266.9375,-1.04,1.36,-0.05
266.96875,-0.84,1.25,-0.18
267,-0.81,0.53,0.33
267.03125,-0.91,0.81,0.06
267.0625,-1.24,0.97,-0.12
267.09375,-1.19,0.59,-0.12
267.125,-1.88,0.26,0.42
267.15625,-1.88,1.28,-1.02
267.1875,-0.85,1.82,-0.48
267.21875,-1.06,1.71,-0.36
267.25,-0.97,1.82,-0.35
267.28125,-1,1.68,-0.33
267.3125,-0.99,1.63,-0.25
267.34375,-0.73,1.8,-0.31
267.375,-0.88,1.87,-0.23
267.40625,-0.73,1.89,-0.21
267.4375,-0.66,1.7,-0.14
267.46875,-0.91,1.67,-0.02
267.5,-0.48,1.61,-0.06
267.53125,-0.58,1.89,-0.04
267.5625,-0.41,1.68,-0.04
267.59375,-0.57,1.59,0.02
267.625,-0.63,1.78,-0.05
267.65625,-0.5,1.79,-0.1
267.6875,-0.49,1.55,-0.04
267.71875,-0.36,1.72,-0.13
267.75,-0.45,1.52,-0.11
267.78125,-0.32,1.61,-0.17
267.8125,-0.32,1.57,-0.13
267.84375,-0.45,1.44,-0.16
267.875,-0.31,1.42,-0.31
267.90625,-0.27,1.31,-0.28
267.9375,-0.02,1.27,-0.3
267.96875,0.11,1.35,-0.24
268,0.11,1.44,-0.28
268.03125,-0.03,1.43,-0.12
268.0625,-0.07,1.26,0.01
268.09375,-0.24,1.2,-0.11
268.125,0,1.53,0.04
268.15625,-0.02,1.4,0.03
268.1875,-0.01,1.38,0.05
268.21875,-0.23,1.03,-0.06
268.25,-0.25,1.28,-0.13
268.28125,-0.14,1.55,-0.05
268.3125,-0.14,1.38,-0.05
268.34375,-0.12,1.59,-0.01
268.375,-0.3,1.49,-0.04
268.40625,-0.53,1.15,0.03
268.4375,-0.19,1.42,0.09
268.46875,-0.35,1.53,0.09
268.5,-0.41,1.46,-0.03
268.53125,-0.27,1.12,0.08
268.5625,-0.2,1.06,0.11
268.59375,-0.13,1.26,0.14
268.625,-0.31,1.33,0.13
268.65625,-0.16,1.43,0.04
268.6875,-0.25,1.42,0.08
268.71875,-0.2,1.33,0.18
268.75,-0.06,1.22,0.19
268.78125,-0.07,1.52,-0.01
268.8125,-0.19,1.26,0.02
268.84375,0.14,1.25,-0.27
268.875,-0.03,1.34,-0.05
268.90625,0.28,1.36,-0.1
268.9375,0.22,1.35,-0.19
268.96875,0.21,1.21,0.08
269,0.66,0.84,0.03
269.03125,0.48,0.85,0.17
269.0625,0.48,0.68,0.24
269.09375,0.37,0.22,0.13
269.125,0.27,0.38,0.3
269.15625,0.23,0.08,0.35
269.1875,-0.57,-0.2,1.07
269.21875,-0.66,-0.33,1.11
269.25,-0.84,-0.01,1.85
269.28125,2.12,-0.83,1.59
269.3125,0.65,1.31,0.58
269.34375,1.11,0.69,0.86
269.375,0.51,0.01,1.21
269.40625,-0.93,0.25,2.17
269.4375,-0.59,1.06,1.27
269.46875,0.89,1.76,0.13
269.5,0.84,-0.3,0.71
269.53125,1,0.66,-0.29
269.5625,1.71,0.17,-0.39
269.59375,0.94,1.44,-0.19
269.625,0.88,1.68,0.15
269.65625,0.92,1.25,-0.21
269.6875,1.24,1.22,-0.16
269.71875,0.92,1.26,-0.1
269.75,0.52,1.07,0
269.78125,0.52,0.99,-0.02
269.8125,0.72,0.86,0.19
269.84375,0.58,0.98,0.03
269.875,0.16,0.45,-0.15
269.90625,0.39,0.85,-0.13
269.9375,0.4,0.61,-0.2
269.96875,0.59,0.51,-0.31
270,0.27,0.67,-0.14
270.03125,0.22,1.06,-0.35
270.0625,0.51,0.76,-0.38
270.09375,0.43,0.39,-0.29
270.125,0.86,0.41,-0.2
270.15625,0.69,0.31,-0.07
270.1875,0.8,0.28,-0.06
270.21875,1.17,0.16,-0.03
270.25,1.05,0.16,-0.05
270.28125,1.26,-0.1,-0.03
270.3125,1.4,-0.1,-0.09
270.34375,1.43,0.15,0
270.375,1.42,-0.11,-0.02
270.40625,1.5,0,0.09
270.4375,1.61,0.1,0.27
270.46875,1.54,0.6,0
270.5,1.31,0.41,0
270.53125,1.46,0.38,-0.15
270.5625,1.42,0.39,-0.15
270.59375,1.16,0.34,-0.19
270.625,1.46,0.49,-0.24
270.65625,1.48,0.39,-0.22
270.6875,1.2,0.15,-0.23
270.71875,1.29,-0.01,-0.02
270.75,1.25,0.07,-0.15
270.78125,1.08,-0.04,-0.18
270.8125,1.05,-0.56,0.06
270.84375,1.29,0.31,-0.08
270.875,1.67,0.45,0.11
270.90625,1.33,-0.04,-0.1
270.9375,1.2,0.05,-0.2
270.96875,1.24,0.39,0.05
271,1.43,0.33,-0.18
271.03125,1.42,0.32,-0.17
271.0625,1.45,0.2,0.17
271.09375,1.47,0.06,0.15
271.125,1.38,0.66,-0.1
271.15625,1.34,0.18,0.01
271.1875,1.35,0.27,-0.04
271.21875,1.38,0.21,0.04
271.25,1.17,-0.32,0.22
271.28125,1.24,0.26,0.11
271.3125,1.34,0.2,-0.02
271.34375,1.35,0.41,-0.04
271.375,1.55,0.47,0.08
271.40625,1.11,0.05,-0.09
271.4375,1.01,0.01,-0.3
271.46875,1.38,0.25,0.06
271.5,1.36,0.26,0.21
271.53125,1.35,0.44,0.09
271.5625,1.16,0.48,-0.13
271.59375,1.14,0.37,-0.12
271.625,1.29,0.37,-0.04
271.65625,1.13,0.17,0.01
271.6875,1.53,0.42,-0.17
271.71875,1.56,-0.19,0.06
271.75,1.41,0.06,0.14
271.78125,1.11,0.15,-0.13
271.8125,1.1,0.37,0.11
271.84375,1.35,0.43,0.04
271.875,1.35,0.6,-0.07
271.90625,1.24,0.15,-0.14
271.9375,1.15,0.45,-0.02
271.96875,1.45,0.22,0.17
272,1.19,0.34,-0.05
272.03125,1.47,0.15,0.16
272.0625,1.36,0.56,-0.05
272.09375,1.34,-0.28,0.15
272.125,1.4,-0.21,0.17
272.15625,1.19,-0.2,0.27
272.1875,1.32,0.65,-0.09
272.21875,1.36,0.54,-0.24
272.25,1.3,0.4,-0.11
272.28125,1.35,0.39,0.03
272.3125,1.41,-0.02,0.08
272.34375,1.3,-0.15,-0.04
272.375,1.11,0.12,-0.25
272.40625,0.98,-0.12,-0.36
272.4375,0.89,-0.02,-0.41
272.46875,0.94,0.07,-0.22
272.5,1.26,0.28,-0.1
272.53125,1.26,0.28,-0.19
272.5625,1.11,0.26,-0.31
272.59375,1.25,0.12,-0.28
272.625,1.12,-0.09,-0.22
272.65625,1.11,0.1,-0.19
272.6875,1.31,0.23,-0.2
272.71875,1.1,0.08,-0.1
272.75,1.07,0.05,-0.07
272.78125,1.13,0.33,-0.27
272.8125,1.17,0.31,-0.02
272.84375,1.21,0.52,0.04
272.875,0.93,0.29,-0.25
272.90625,1.22,0.1,-0.25
272.9375,1.14,0.39,-0.18
272.96875,1.02,0.43,-0.37
273,1.32,0.56,-0.22
273.03125,1.28,0.32,-0.13
273.0625,1.19,0.47,-0.31
273.09375,1.53,0.28,0.05
273.125,1.26,-0.09,0.15
273.15625,1.11,0.35,-0.15
273.1875,0.97,-0.05,-0.07
273.21875,1.26,0.56,-0.24
273.25,1.3,-0.09,0
273.28125,0.87,-0.84,0.14
273.3125,1.04,0.06,-0.2
273.34375,1.21,-0.04,-0.07
273.375,1.09,-0.15,-0.1
273.40625,0.92,0.1,-0.07
273.4375,1.02,-0.07,0.14
273.46875,1.19,-0.43,0.06
273.5,1.53,-0.13,-0.05
273.53125,1.41,-0.49,0.24
273.5625,1.52,-0.08,0.02
273.59375,1.42,0.2,-0.05
273.625,1.57,0.33,-0.35
273.65625,1.19,0.1,-0.39
273.6875,1.2,-0.02,-0.24
273.71875,1.52,-0.43,0.15
273.75,1.09,-0.84,0.13
273.78125,1.38,-0.23,-0.11
273.8125,1.98,-0.07,-0.06
273.84375,1.89,-0.6,0.55
273.875,1.94,-0.93,0.53
273.90625,1.73,-0.56,0.36
273.9375,1.65,-1.7,0.83
273.96875,1.39,0.1,-0.03
274,1.77,0.34,-0.07
274.03125,1.82,0.22,0
274.0625,1.6,-0.57,0.06
274.09375,1.49,-0.12,0.24
274.125,1.32,-0.39,0.08
274.15625,1.3,0.04,-0.04
274.1875,1.47,0.54,-0.33
274.21875,1.43,-0.54,0.19
274.25,1.67,0.7,-0.19
274.28125,1.44,0.06,-0.19
274.3125,1.2,-0.81,-0.03
274.34375,1.57,-0.76,0.23
274.375,1.45,-0.88,0.2
274.40625,1.56,-0.93,0.32
274.4375,1.42,-1.65,0.18
274.46875,1.87,-0.54,-0.32
274.5,1.75,-0.77,0.33
274.53125,1.5,-0.62,0.46
274.5625,1.09,-0.68,0.15
274.59375,1.76,0.38,-0.05
274.625,1.72,-0.43,0.08
274.65625,1.22,-1,0.77
274.6875,1.82,0.58,0.15
274.71875,1.39,0.16,-0.19
274.75,1.28,0.3,-0.21
274.78125,1.27,-0.07,-0.12
274.8125,1.18,-0.11,-0.26
274.84375,1.27,0.07,-0.3
274.875,1.45,-0.33,0.12
274.90625,1.57,0.14,0.03
274.9375,1.68,0.39,-0.16
274.96875,1.29,-0.7,0.27
275,1.49,-1.49,0.92
275.03125,1.64,-0.98,0.77
275.0625,1.52,-0.16,0.04
275.09375,1.45,-0.7,-0.03
275.125,1.39,-0.91,0.31
275.15625,1.6,-0.39,0.11
275.1875,1.55,-0.24,-0.15
275.21875,1.53,-0.77,0.37
275.25,1.41,0.13,-0.2
275.28125,1.66,0.05,0.16
275.3125,1.58,0.13,-0.04
275.34375,1.4,0.03,-0.09
275.375,1.38,-0.22,-0.17
275.40625,1.67,-0.12,-0.09
275.4375,1.41,-0.21,0.1
275.46875,1.35,-0.18,0.06
275.5,1.59,0.14,-0.12
275.53125,1.64,-0.19,0.2
275.5625,1.37,-0.33,0.04
275.59375,1.42,-0.08,0.11
275.625,1.27,-0.2,0.09
275.65625,1.34,0.09,-0.11
275.6875,1.3,-0.06,-0.02
275.71875,1.28,0.23,-0.18
275.75,1.34,-0.06,-0.19
275.78125,1.24,-0.48,0.05
275.8125,1.29,0.03,-0.15
275.84375,1.32,-0.15,0.07
275.875,1.21,-0.57,0.27
275.90625,1.31,-0.64,0.28
275.9375,1.52,-0.35,0.25
275.96875,1.44,-0.33,0.43
276,1.65,-0.17,0.05
276.03125,1.32,-0.31,0.03
276.0625,1.62,-1.13,0.4
276.09375,1.83,-0.55,0.27
276.125,1.17,-0.15,-0.07
276.15625,1.38,0.03,-0.32
276.1875,1.49,-0.37,0.16
276.21875,1.54,-0.56,0.17
276.25,1.39,-1.49,0.59
276.28125,1.43,-1.14,0.89
276.3125,0.88,-0.83,0.81
276.34375,1.57,-1.04,0.23
276.375,1.44,-0.29,0.21
276.40625,1.54,-0.51,0.25
276.4375,1.45,-0.73,0.19
276.46875,1.1,-0.1,-0.14
276.5,1.16,-0.26,0.03
276.53125,1.31,-0.1,0.12
276.5625,1.3,-0.58,0.32
276.59375,1.36,-0.94,0.4
276.625,1.4,-0.39,-0.2
