time (s),U,V,W
11.34375,-9.02,2.22,0.24
11.375,-8.62,1.82,0.46
11.40625,-8.45,2.3,-0.19
11.4375,-8.72,1.66,0.05
11.46875,-9.2,1.99,-0.35
11.5,-8.42,2.19,0.12
11.53125,-8.03,2.06,-0.05
11.5625,-8.3,2.59,0.4
11.59375,-9.03,2.51,0.01
11.625,-8.83,1.35,0.24
11.65625,-8.4,1.71,-0.22
11.6875,-8.45,2.56,0.32
11.71875,-8.6,2.27,-0.19
11.75,-8.68,1.87,-0.12
11.78125,-8.51,1.98,-0.18
11.8125,-8.37,2.32,-0.1
11.84375,-8.71,2.06,0.05
11.875,-9.02,2.23,-0.01
11.90625,-8.73,2.15,-0.2
11.9375,-8.76,1.93,0.17
11.96875,-8.45,1.72,0.42
12,-8.59,2.78,0.31
12.03125,-8.25,2.73,0.1
12.0625,-8.35,2.63,0.25
12.09375,-7.73,2.77,0.13
12.125,-7.77,3.8,0
12.15625,-8.12,2.92,0.53
12.1875,-8.77,2.83,0.44
12.21875,-7.93,3.58,0.6
12.25,-8.14,2.91,0.84
12.28125,-8.98,2.64,0.85
12.3125,-8.21,2.66,0.53
12.34375,-8.29,2.91,0.81
12.375,-8.57,3.32,1.01
12.40625,-8.4,3.32,0.58
12.4375,-8.45,3.31,1.18
12.46875,-8.31,2.64,1.15
12.5,-8.59,2.72,0.53
12.53125,-8.38,3.47,0.87
12.5625,-7.93,2.97,1.77
12.59375,-8.26,2.72,0.74
12.625,-8.36,3.22,0.8
12.65625,-8.24,3.15,0.76
12.6875,-7.81,3.73,0.79
12.71875,-7.95,2.93,0.69
12.75,-8.07,2.94,0.72
12.78125,-8.21,3.12,0.37
12.8125,-7.87,3.05,0.7
12.84375,-8.2,3.27,0.52
12.875,-8.29,3.2,0.84
12.90625,-8.21,2.86,0.85
12.9375,-8.05,2.69,0.7
12.96875,-8.36,2.4,0.95
13,-8.32,3.04,0.39
13.03125,-7.96,2.51,0.73
13.0625,-8.11,2.57,0.88
13.09375,-8.27,2.34,0.62
